order_date;registered_date;user_id;SKU;Quantity
9-Oct-17;9-Oct-17;81168;91017;1
9-Oct-17;29-Aug-17;80875;91017;3
9-Oct-17;9-Oct-17;81169;91017;1
9-Oct-17;9-Oct-17;81170;131017;1
9-Oct-17;9-Oct-17;81171;101017;1
9-Oct-17;9-Oct-17;81172;101017;1
10-Oct-17;10-Oct-17;81173;101017;2
10-Oct-17;2-Oct-17;81083;101017;1
10-Oct-17;10-Oct-17;81174;101017;1
10-Oct-17;10-Oct-17;81176;111017;1
10-Oct-17;10-Oct-17;81177;111017;1
10-Oct-17;10-Oct-17;81178;111017;1
11-Oct-17;11-Oct-17;81180;111017;1
11-Oct-17;11-Oct-17;81181;111017;1
11-Oct-17;11-Oct-17;81182;201017;1
12-Oct-17;12-Sep-17;80922;121017;1
12-Oct-17;12-Oct-17;81183;131017;1
12-Oct-17;6-Oct-17;81157;131017;2
12-Oct-17;9-Sep-17;80913;131017;1
12-Oct-17;12-Oct-17;81184;131017;3
13-Oct-17;12-Oct-17;81186;131017;1
13-Oct-17;12-Oct-17;81185;131017;1
13-Oct-17;12-Oct-17;81187;131017;2
13-Oct-17;12-Oct-17;81188;131017;1
13-Oct-17;13-Oct-17;81189;131017;1
13-Oct-17;13-Oct-17;81190;131017;1
13-Oct-17;5-Sep-17;80897;131017;1
13-Oct-17;13-Oct-17;81191;131017;2
13-Oct-17;13-Oct-17;81192;131017;1
13-Oct-17;13-Oct-17;81194;131017;1
13-Oct-17;13-Oct-17;81195;131017;1
13-Oct-17;13-Oct-17;81193;131017;1
13-Oct-17;13-Oct-17;81196;131017;1
13-Oct-17;13-Oct-17;81197;131017;1
14-Oct-17;14-Oct-17;81201;201017;1
14-Oct-17;14-Oct-17;81203;171017;1
15-Oct-17;15-Oct-17;81205;161017;1
15-Oct-17;15-Oct-17;81206;161017;1
15-Oct-17;8-Oct-17;81165;161017;1
15-Oct-17;15-Oct-17;81207;161017;1
15-Oct-17;15-Oct-17;81208;161017;1
16-Oct-17;15-Oct-17;81209;161017;1
16-Oct-17;16-Oct-17;81210;161017;1
16-Oct-17;16-Oct-17;81212;161017;1
16-Oct-17;27-Sep-17;81044;171017;1
16-Oct-17;29-Aug-17;80875;171017;1
16-Oct-17;16-Oct-17;81213;171017;1
16-Oct-17;16-Oct-17;81214;171017;1
16-Oct-17;16-Oct-17;81215;171017;1
16-Oct-17;16-Oct-17;81215;171017;1
17-Oct-17;14-Oct-17;81202;171017;1
17-Oct-17;17-Oct-17;81216;171017;1
17-Oct-17;17-Oct-17;81216;171017 Luxe;1
17-Oct-17;17-Oct-17;81217;171017;1
17-Oct-17;17-Oct-17;81218;171017 Luxe;1
17-Oct-17;17-Oct-17;81220;191017;1
17-Oct-17;17-Oct-17;81222;191017;1
18-Oct-17;18-Oct-17;81223;191017;1
19-Oct-17;18-Oct-17;81224;191017;1
19-Oct-17;19-Oct-17;81226;191017;1
19-Oct-17;18-Oct-17;81225;191017;1
19-Oct-17;19-Oct-17;81227;191017;1
19-Oct-17;19-Oct-17;81228;201017;2
19-Oct-17;19-Oct-17;81229;201017;1
19-Oct-17;28-Sep-17;81062;201017;1
20-Oct-17;19-Oct-17;81230;201017;1
20-Oct-17;20-Oct-17;81231;201017;2
20-Oct-17;20-Oct-17;81232;201017;1
20-Oct-17;21-Sep-17;80996;201017;1
21-Oct-17;11-Oct-17;81181;231017;1
22-Oct-17;22-Oct-17;81235;231017;1
22-Oct-17;15-Sep-17;80959;231017;2
22-Oct-17;22-Oct-17;81237;231017;1
22-Oct-17;22-Oct-17;81238;231017;2
22-Oct-17;5-Sep-17;80897;231017;1
23-Oct-17;3-Oct-17;81109;231017;1
23-Oct-17;23-Oct-17;81242;231017;1
23-Oct-17;23-Oct-17;81240;301017;1
23-Oct-17;23-Oct-17;81240;271017;1
23-Oct-17;23-Oct-17;81239;231017;1
23-Oct-17;23-Oct-17;81243;231017;1
23-Oct-17;23-Oct-17;81244;231017;1
23-Oct-17;23-Oct-17;81246;241017;2
23-Oct-17;23-Oct-17;81247;241017;1
23-Oct-17;23-Oct-17;81248;241017;3
24-Oct-17;24-Oct-17;81249;241017;1
24-Oct-17;29-Sep-17;81078;271017;1
24-Oct-17;24-Oct-17;81251;251017;1
24-Oct-17;13-Oct-17;81199;90118;1
24-Oct-17;24-Oct-17;81254;251017;1
25-Oct-17;24-Oct-17;81255;251017;1
25-Oct-17;25-Oct-17;81256;251017;1
25-Oct-17;18-Sep-17;80966;251017;1
25-Oct-17;25-Oct-17;81257;251017;1
25-Oct-17;25-Oct-17;81258;251017;1
25-Oct-17;13-Oct-17;81199;271017;1
25-Oct-17;13-Oct-17;81199;271017;1
25-Oct-17;13-Oct-17;81199;261217;1
25-Oct-17;8-Oct-17;81166;261017;1
25-Oct-17;25-Oct-17;81259;301017;1
26-Oct-17;26-Oct-17;81260;261017;1
26-Oct-17;26-Oct-17;81261;261017;1
26-Oct-17;26-Oct-17;81263;271017;1
26-Oct-17;26-Oct-17;81264;271017;1
26-Oct-17;26-Oct-17;81265;271017;1
26-Oct-17;26-Oct-17;81266;261017;1
26-Oct-17;26-Oct-17;81267;261017;1
26-Oct-17;26-Oct-17;81269;271017;1
26-Oct-17;26-Oct-17;81271;271017;1
